Time,v_LO_control,v_LE_control,c_LO_measured,c_RE_measured
175,0.5,0.5,14.88,54.96
176,0.5,0.5,14.88,54.95
177,0.5,0.5,14.88,54.96
178,0.5,0.5,14.88,54.95
179,0.5,0.5,14.88,54.96
180,0.5,0.5,14.88,54.96
181,0.5,0.5,14.88,54.96
182,0.5,0.5,14.88,54.96
183,0.5,0.5,14.88,54.96
184,0.5,0.5,14.88,54.96
185,0.5,0.5,14.88,54.96
186,0.5,0.5,14.88,54.96
187,0.5,0.5,14.88,54.96
188,0.5,0.5,14.88,54.95
189,0.5,0.5,14.88,54.96
190,0.5,0.5,14.88,54.96
191,0.5,0.5,14.88,54.96
192,0.5,0.5,14.88,54.95
193,0.5,0.5,14.88,54.96
194,0.5,0.5,14.88,54.96
195,0.5,0.5,14.88,54.96
196,0.5,0.5,14.88,54.95
197,0.5,0.5,14.88,54.96
198,0.5,0.5,14.88,54.96
199,0.5,0.5,14.88,54.95
200,0.5,0.5,14.88,54.96
201,0.5,0.5,14.88,54.96
202,0.5,0.5,14.88,54.96
203,0.5,0.5,14.88,54.96
204,0.5,0.5,14.88,54.96
205,0.5,0.5,14.89,54.96
206,0.5,0.5,14.88,54.96
207,0.5,0.5,14.88,54.96
208,0.5,0.5,14.88,54.96
209,0.5,0.5,14.88,54.96
210,0.5,0.5,14.87,54.95
211,0.5,0.5,14.88,54.96
212,0.5,0.5,14.88,54.95
213,0.5,0.5,14.88,54.96
214,0.5,0.5,14.88,54.95
215,0.5,0.5,14.88,54.95
216,0.5,0.5,14.87,54.95
217,0.5,0.5,14.88,54.96
218,0.5,0.5,14.88,54.96
219,0.5,0.5,14.88,54.96
220,0.5,0.5,14.88,54.96
221,0.5,0.5,14.88,54.96
222,0.5,0.5,14.87,54.95
223,0.5,0.5,14.88,54.96
224,0.5,0.5,14.88,54.96
225,0.5,0.5,14.87,54.95
226,0.5,0.5,14.88,54.96
227,0.5,0.5,14.88,54.96
228,0.5,0.5,14.88,54.96
229,0.5,0.5,14.88,54.96
230,0.5,0.5,14.88,54.96
231,0.5,0.5,14.88,54.96
232,0.5,0.5,14.88,54.96
233,0.5,0.5,14.88,54.96
234,0.5,0.5,14.89,54.96
235,0.5,0.5,14.88,54.96
236,0.5,0.5,14.88,54.96
237,0.5,0.5,14.88,54.96
238,0.5,0.5,14.88,54.96
239,0.5,0.5,14.88,54.96
240,0.5,0.5,14.88,54.96
241,0.5,0.5,14.88,54.96
242,0.5,0.5,14.88,54.96
243,0.5,0.5,14.88,54.96
244,0.5,0.5,14.88,54.96
245,0.5,0.5,14.89,54.96
246,0.5,0.5,14.88,54.96
247,0.5,0.5,14.88,54.96
248,0.5,0.5,14.88,54.95
249,0.5,0.5,14.88,54.96
250,0.5,0.5,14.88,54.96
251,0.5,0.5,14.88,54.96
252,0.5,0.5,14.88,54.96
253,0.5,0.5,14.88,54.96
254,0.5,0.5,14.88,54.96
255,0.5,0.5,14.88,54.96
256,0.5,0.5,14.88,54.96
257,0.5,0.5,14.89,54.96
258,0.5,0.5,14.88,54.96
259,0.5,0.5,14.88,54.96
260,0.5,0.5,14.88,54.96
261,0.5,0.5,14.88,54.96
262,0.5,0.5,14.88,54.96
263,0.5,0.5,14.88,54.96
264,0.5,0.5,14.88,54.96
265,0.5,0.5,14.88,54.96
266,0.5,0.5,14.88,54.95
267,0.5,0.5,14.88,54.96
268,0.5,0.5,14.88,54.95
269,0.5,0.5,14.88,54.96
270,0.5,0.5,14.88,54.96
271,0.5,0.5,14.88,54.96
272,0.5,0.5,14.87,54.95
273,0.5,0.5,14.88,54.96
274,0.5,0.5,14.89,54.97
275,0.5,0.5,14.88,54.96
276,0.5,0.5,14.88,54.96
277,0.5,0.5,14.88,54.96
278,0.5,0.5,14.88,54.96
279,0.5,0.5,14.89,54.96
280,0.5,0.5,14.88,54.96
281,0.5,0.5,14.88,54.96
282,0.5,0.5,14.88,54.96
283,0.5,0.5,14.88,54.96
284,0.5,0.5,14.88,54.96
285,0.5,0.5,14.88,54.96
286,0.5,0.5,14.88,54.96
287,0.5,0.5,14.88,54.96
288,0.5,0.5,14.88,54.96
289,0.5,0.5,14.88,54.96
290,0.5,0.5,14.87,54.95
291,0.5,0.5,14.89,54.96
292,0.5,0.5,14.88,54.95
293,0.5,0.5,14.88,54.95
294,0.5,0.5,14.88,54.96
295,0.5,0.5,14.88,54.95
296,0.5,0.5,14.88,54.96
297,0.5,0.5,14.88,54.96
298,0.5,0.5,14.88,54.96
299,0.5,0.5,14.88,54.96
300,0.5,0.5,14.88,54.96
301,0.5,0.5,14.88,54.96
302,0.5,0.5,14.88,54.96
303,0.5,0.5,14.88,54.96
304,0.5,0.5,14.88,54.96
305,0.5,0.5,14.89,54.96
306,0.5,0.5,14.88,54.96
307,0.5,0.5,14.88,54.96
308,0.5,0.5,14.88,54.96
309,0.5,0.5,14.88,54.96
310,0.5,0.5,14.88,54.96
311,0.5,0.5,14.89,54.97
312,0.5,0.5,14.88,54.96
313,0.5,0.5,14.88,54.96
314,0.5,0.5,14.88,54.96
315,0.5,0.5,14.88,54.95
316,0.5,0.5,14.88,54.96
317,0.5,0.5,14.88,54.95
318,0.5,0.5,14.88,54.96
319,0.5,0.5,14.88,54.96
320,0.5,0.5,14.88,54.95
321,0.5,0.5,14.88,54.96
322,0.5,0.5,14.88,54.96
323,0.5,0.5,14.88,54.96
324,0.5,0.5,14.88,54.96
325,0.5,0.5,14.88,54.96
326,0.5,0.5,14.88,54.96
327,0.5,0.5,14.88,54.96
328,0.5,0.5,14.88,54.96
329,0.5,0.5,14.88,54.96
330,0.5,0.5,14.88,54.96
331,0.5,0.5,14.88,54.96
332,0.5,0.5,14.88,54.96
333,0.5,0.5,14.89,54.96
334,0.5,0.5,14.88,54.96
335,0.5,0.5,14.88,54.96
336,0.5,0.5,14.88,54.96
337,0.5,0.5,14.88,54.95
338,0.5,0.5,14.88,54.96
