Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured
75,14.88,54.96,278.59,277.69,278.61,194.85,7,35,0,0.01,0.89
76,14.88,54.96,277.46,278.07,277.44,194.9,7,35,0.01,0.01,0.88
77,14.88,54.96,278.09,278.35,277.37,194.94,7,35.01,0.01,0.01,0.89
78,14.88,54.96,277.86,278.18,277.82,195.1,7,35,0.01,0,0.88
79,14.88,54.96,276.6,278.31,278.62,195.41,7,35,0.01,0.01,0.88
80,14.88,54.96,277.43,277.4,278.23,194.9,7.01,34.99,0.01,0.01,0.89
81,14.89,54.95,278.74,278.65,277.92,194.84,7,35,0,0.01,0.89
82,14.88,54.96,277.91,277.61,278.44,195.1,7,35,0,0.01,0.89
83,14.88,54.96,278.19,277.8,278.06,195.22,7,35,0.01,0.01,0.88
84,14.88,54.96,277.79,277.25,277.8,194.89,7,35,0.01,0.01,0.88
85,14.88,54.96,277.8,278.07,278.01,194.86,7,35,0.01,0.01,0.89
86,14.88,54.96,277.54,278.64,278.32,195.19,7,35,0.02,0.01,0.89
87,14.88,54.96,278.4,278,277.47,194.95,7,35,0,0.01,0.88
88,14.88,54.96,278.2,277.4,277.75,195.3,7,35,0,0,0.88
89,14.88,54.95,278.05,277.94,277.92,194.64,7,35,0.01,0,0.88
90,14.87,54.96,277.88,278.49,278.18,194.47,7,35,0.01,0.01,0.89
91,14.88,54.96,277.68,277.73,278.3,194.98,7,35,0.01,0,0.88
92,14.88,54.96,277.91,276.89,277.89,195.61,7,35,0.01,0,0.88
93,14.88,54.95,278.13,278.16,277.6,195.71,7,35,0.01,0.01,0.88
94,14.88,54.96,278.39,278.48,277.68,195.14,7,35,0.01,0.01,0.88
95,14.88,54.96,277.66,277.47,278.14,194.9,7,35,0,0,0.89
96,14.88,54.96,278.03,277.86,278.39,194.75,7,35,0.01,0.01,0.88
97,14.88,54.96,278.72,277.88,278.01,195.25,7,35.01,0.01,0.01,0.89
98,14.88,54.95,277.98,278.91,277.42,194.71,7,35,0,0.01,0.89
99,14.88,54.96,277.82,276.66,277.56,195.13,6.99,35,0.01,0.01,0.88
100,14.88,54.96,277.77,278.82,278.1,195.71,7,35,0.01,0,0.88
101,14.88,54.96,277.9,278.11,278.06,194.92,7,35,0.01,0.01,0.89
102,14.88,54.96,278.1,279.23,277.58,195.02,7,35,0,0.01,0.88
103,14.88,54.96,277.65,277.97,277.7,195.27,7,35,0.01,0.01,0.89
104,14.88,54.96,277.95,278.37,278.84,195.02,7,35,0.01,0,0.88
105,14.88,54.96,277.66,277.41,278.33,194.8,7,35,0.01,0.01,0.88
106,14.88,54.96,277.67,277.73,278.86,195.43,7,35,0.01,0,0.89
107,14.88,54.96,278.26,277.97,277.55,195.13,7,35.01,0,0.01,0.88
108,14.88,54.96,278.08,277.14,278.32,194.62,7,35,0.01,0.01,0.88
109,14.88,54.96,277.76,278.44,277.94,194.69,7,35,0.01,0,0.89
110,14.88,54.96,277.9,278.82,278.19,195.1,6.99,34.99,0.01,0.01,0.88
111,14.88,54.96,277.75,277.1,277.87,194.17,7,35,0.01,0.01,0.89
112,14.88,54.96,277.19,276.81,278.39,194.93,7,35,0.01,0,0.88
113,14.88,54.96,277.89,277.75,278.22,195.66,7,35,0.01,0,0.89
114,14.88,54.96,278.47,277.59,278.19,194.82,6.99,35,0.01,0.01,0.89
115,14.88,54.96,278.11,277.89,277.38,194.8,7,35,0.01,0.01,0.89
116,14.87,54.96,277.58,277.57,278.7,194.85,7,35,0.01,0.01,0.89
117,14.88,54.96,278.25,278.33,277.95,194.43,7,35,0.01,0.01,0.89
118,14.88,54.96,278.13,278.67,278.24,195.18,7,35,0.01,0,0.88
119,14.88,54.96,278,277.47,278.57,194.4,7,35,0.01,0,0.89
120,14.88,54.96,277.56,278.11,278.12,195.15,7,35,0.01,0.01,0.89
121,14.89,54.95,277.81,278.15,277.8,195.23,6.99,35,0,0.01,0.89
122,14.88,54.96,278.35,278.08,278.42,194.8,7,35,0.01,0.01,0.89
123,14.88,54.96,278.35,278.48,278.29,195.2,6.99,35,0,0,0.89
124,14.88,54.96,278.9,277.31,277.62,194.76,7,35,0.01,0.01,0.88
125,14.88,54.96,277.81,277.92,277.66,194.58,7,35,0.01,0,0.88
126,14.88,54.96,278.06,278.1,277.68,194.76,7,34.99,0.01,0.01,0.88
127,14.88,54.96,277.86,277.66,278.49,195.37,7,35,0.01,0.01,0.89
128,14.88,54.96,278.94,276.95,278.25,194.79,7,35,0.01,0,0.88
129,14.88,54.96,277.16,278.23,278.27,195.2,7,35,0.01,0.01,0.88
130,14.88,54.96,277.75,278.45,278.94,195.78,7,35,0.01,0,0.88
131,14.88,54.96,277.79,278.08,278.47,194.87,7,35,0.01,0,0.89
132,14.88,54.96,277.5,277.86,277.5,194.86,6.99,35,0.01,0.01,0.89
133,14.88,54.96,278.65,278.01,278.75,195.4,7,35,0.01,0.01,0.88
134,14.88,54.97,278.08,277.66,277.4,194.99,7,35,0.01,0,0.89
135,14.88,54.95,278.55,277.68,277.38,195.27,7,35,0.01,0,0.89
136,14.87,54.96,277.35,277.3,278.02,195.13,7,35,0.01,0,0.89
137,14.89,54.96,278.46,278.27,278.02,194.93,7.01,35,0.01,0.01,0.89
138,14.88,54.96,278.1,277.38,278.56,194.98,7,35,0.01,0.01,0.89
139,14.88,54.96,278.21,277.49,277.87,194.91,7,35,0.01,0.01,0.88
140,14.89,54.96,278.25,278.35,277.85,194.82,7,35,0.01,0.01,0.89
141,14.88,54.96,278.25,278.2,278.03,194.95,7,35,0.01,0.01,0.89
142,14.88,54.96,277.71,277.52,278.53,194.96,6.99,35,0.01,0.01,0.89
143,14.88,54.96,278.52,277.96,278.64,195.09,7,35,0.01,0,0.88
144,14.88,54.96,278.81,277.77,277.45,195.05,7,35,0.01,0,0.89
145,14.88,54.96,278.22,277.64,278.11,195.43,7,35,0.01,0,0.89
146,14.88,54.96,278.01,278.09,278.62,194.86,7,35,0,0,0.89
147,14.88,54.96,277.27,277.47,278.07,195.29,7,34.99,0.01,0.01,0.88
148,14.88,54.96,278.3,277.9,277.73,194.35,7,35,0.01,0,0.89
149,14.88,54.96,277.88,277.51,277.69,194.74,7,35,0.01,0.01,0.89
150,14.88,54.96,277.26,277.88,278.2,195.59,7.01,35,0.01,0.01,0.88
151,14.88,54.96,277.55,277.57,277.34,195.58,7,35,0.01,0,0.88
152,14.89,54.95,278.41,277.92,277.8,195.54,7,35,0.01,0.01,0.89
153,14.88,54.96,277.99,277.21,278.07,194.59,7,35,0.01,0.01,0.88
154,14.88,54.96,278.24,278.04,278.03,194.83,6.99,35,0.01,0,0.89
155,14.88,54.96,277.7,277.8,278.67,194.59,7,35,0.01,0.01,0.88
156,14.88,54.96,277.86,278.96,278.21,195.2,7,35,0,0.01,0.89
157,14.88,54.96,277.95,277.06,277.35,194.41,7,35,0.01,0.01,0.89
158,14.88,54.96,278.64,277.99,277.79,195.16,7,35,0.01,0,0.89
159,14.89,54.96,277.79,277.52,278.96,194.99,7,35,0.01,0.01,0.89
160,14.88,54.96,278.58,278.77,278.06,194.66,7,35,0,0,0.88
161,14.88,54.96,278.2,278.15,277.96,195.56,7,35,0.01,0.01,0.89
162,14.88,54.95,277.89,277.94,278.21,194.73,7,35,0.01,0.01,0.89
163,14.88,54.96,277.85,277.84,278.11,195.25,7,35,0,0.01,0.88
164,14.88,54.96,278.08,278.43,278.05,194.34,7,35,0.01,0,0.88
165,14.88,54.96,278.15,278.01,277.73,195.16,7,35,0.01,0.01,0.88
166,14.88,54.96,276.97,277.13,278.18,195.07,7,35,0,0.01,0.88
167,14.88,54.96,278.74,277.41,277.99,194.91,7,35,0.01,0.01,0.89
168,14.88,54.96,278.43,277.81,277.89,194.94,7,35,0.01,0.01,0.89
169,14.88,54.96,277.42,278.21,277.73,195.09,7,35,0,0.01,0.88
170,14.88,54.96,278.09,277.95,278.08,194.66,7,35,0.01,0.01,0.89
171,14.88,54.96,277.06,277.39,278.08,195.18,7,35,0.01,0,0.89
172,14.88,54.95,277.05,277.38,277.93,195.4,7.01,35,0.01,0.01,0.89
173,14.88,54.96,277.72,278.66,277.73,195.25,7,35,0.01,0,0.89
174,14.88,54.96,277.58,277.53,277.6,195.3,7,35,0.01,0.01,0.89
175,14.88,54.95,278.17,278.61,277.62,194.98,7,35,0.01,0,0.88
176,14.88,54.96,278.34,278.22,277.87,195.35,7,35,0,0,0.88
177,14.88,54.96,277.28,277.26,278.5,194.82,7,35,0.01,0,0.89
178,14.88,54.96,277.59,277.56,279.13,195.25,7,35,0.01,0.01,0.88
179,14.88,54.96,277.09,277.31,278.47,195.32,7,35,0.01,0,0.89
180,14.88,54.96,278.38,277.69,277.54,194.84,7,35,0.01,0.01,0.89
181,14.88,54.96,277.77,278.88,277.86,195.3,7,35,0.01,0,0.88
182,14.88,54.95,278.17,277.99,277.86,195.04,7,35,0.01,0.01,0.89
183,14.88,54.96,279,278.53,278.16,194.56,7,35.01,0,0,0.89
184,14.88,54.95,277.12,277.98,277.99,194.6,7,35,0.01,0,0.89
185,14.88,54.96,278.38,277.94,277.92,195.39,7,35,0.01,0,0.89
186,14.89,54.96,278.57,278.23,278.48,195.08,7,35,0.01,0,0.89
187,14.88,54.96,278.36,278.37,277.7,194.7,7,35,0,0.01,0.89
188,14.88,54.96,278.51,277.94,277.64,195.02,7,35,0.01,0,0.89
189,14.88,54.96,277.89,277.89,277.96,195.79,7,35,0.01,0.01,0.89
190,14.89,54.96,277.66,276.81,277.91,195.43,7,35,0.01,0,0.89
191,14.88,54.95,278.03,277.83,278.03,194.97,7,35,0,0,0.89
192,14.88,54.95,276.99,278.79,277.67,194.93,7,35,0.01,0,0.89
193,14.88,54.96,278.53,277.91,277.64,195.13,6.99,35,0.01,0.01,0.88
194,14.88,54.95,278.03,278.83,278.07,195.52,7,35,0.01,0.01,0.89
195,14.88,54.96,277.83,277.16,278.08,195.2,7,35,0,0.01,0.88
196,14.88,54.96,278.06,278.14,277.73,194.87,7,35,0.01,0.01,0.88
197,14.88,54.96,277.21,278.1,278.08,195,7,35,0,0.01,0.89
198,14.88,54.96,277.81,277.31,278.46,195.26,7,35,0.01,0.01,0.88
199,14.88,54.96,278.06,277.93,277.99,195.28,7,35,0.01,0.01,0.88
200,14.88,54.96,278.7,277.55,277.3,194.69,7,35,0,0.01,0.89
201,14.88,54.95,277.45,277.73,277.66,195.01,7,35,0,0.01,0.89
202,14.88,54.96,278.47,277.58,276.9,194.84,7,35,0.01,0.01,0.88
203,14.88,54.96,277.79,278.73,277.84,194.96,7,35,0,0.01,0.89
204,14.88,54.95,278.76,278.07,277.94,194.71,7,35,0.01,0.01,0.89
205,14.88,54.96,278.05,278.84,278.95,195.05,7,35,0.01,0,0.89
206,14.88,54.96,278.35,277.74,277.94,194.69,7,35,0.01,0.01,0.88
207,14.88,54.96,278,276.72,276.99,194.86,7.01,35,0.01,0.01,0.88
208,14.88,54.96,277.06,277.48,278.55,194.86,7,35,0,0.01,0.89
209,14.89,54.95,277.52,278.09,277.7,195.42,7,35,0.01,0.01,0.88
210,14.88,54.96,278.08,277.68,278.03,195.32,7,35,0.01,0.01,0.89
211,14.88,54.95,277.25,277.14,277.79,194.46,7,35,0.01,0.01,0.89
212,14.89,54.96,278.77,278.08,277.23,194.78,7,35,0,0.01,0.88
213,14.88,54.96,276.96,278.08,277.92,195,6.99,35,0.01,0.01,0.88
214,14.87,54.96,277.87,278.21,277.69,194.97,7,35,0.01,0.01,0.89
215,14.88,54.96,277.79,278.53,277.56,195.71,7,35,0.01,0.01,0.88
216,14.88,54.96,277.39,278.22,278.35,195.1,7,35.01,0.01,0.01,0.88
217,14.88,54.95,277.8,277.77,278.07,195.1,7,35,0.01,0.01,0.89
218,14.88,54.96,278.26,278.55,277.45,194.91,7,35,0.01,0.01,0.89
219,14.88,54.96,277.23,277.62,277.41,194.91,7,35,0.01,0.01,0.89
220,14.88,54.96,277.84,277.62,277.81,195.22,7,35,0.01,0.01,0.89
221,14.88,54.96,278.61,278.19,277.68,194.99,7,35,0.01,0.01,0.89
222,14.87,54.95,277.11,277.33,278.66,195.03,7,35,0.01,0.01,0.89
223,14.88,54.95,278.45,278.41,278.36,195.16,7,35,0.01,0.01,0.88
224,14.88,54.96,277.58,277.65,278.84,195.16,7,35,0,0.01,0.88
225,14.88,54.96,278.79,279.1,278.03,194.91,7,35,0.01,0.01,0.89
226,14.87,54.96,278.38,277.95,277.85,195.42,7,35,0.01,0.01,0.89
227,14.88,54.96,277.59,277.64,278.44,194.59,7,35,0.01,0,0.88
228,14.88,54.96,277.94,278.63,278.27,195.01,7,35,0.01,0.01,0.89
229,14.88,54.96,277.58,278.65,278.07,195.28,7,35,0.01,0.01,0.88
